Date,T_degC,PO4uM,SiO3uM,NO2uM,NO3uM,Salnty,O2ml_L
01/14/2007,8.91,1.66,29.00,0.00,23.50,33.81,3.55
04/15/2011,8.91,1.73,28.80,0.01,26.10,33.85,3.28
10/16/2011,8.91,2.68,57.80,0.03,38.50,34.17,1.47
07/07/2000,8.92,2.08,75.00,0.00,25.40,34.15,2.52
07/13/2007,8.92,1.88,35.00,0.00,27.60,33.89,2.87
04/25/2011,8.92,1.87,34.80,0.01,30.80,34.04,2.47
04/04/2006,8.93,2.46,42.00,0.25,26.70,33.92,2.23
07/19/2006,8.93,1.88,32.30,0.04,26.20,33.60,3.72
05/04/2010,8.94,1.73,26.20,0.00,22.10,33.73,3.77
03/30/2008,8.95,2.15,41.00,0.00,30.20,34.15,2.15
01/19/2011,8.96,2.08,39.80,0.05,28.10,34.12,2.07
11/02/2001,8.97,2.73,37.00,0.03,28.40,34.04,2.39
04/07/2013,8.97,1.60,38.40,0.05,23.40,33.70,2.62
04/03/2007,8.98,1.87,34.60,0.00,27.50,33.88,2.93
10/28/2012,8.99,2.09,38.10,0.01,27.70,33.58,2.37
10/17/2011,9.00,2.70,57.00,0.09,39.30,34.15,1.54
07/10/2016,9.00,1.71,32.00,0.02,21.30,33.72,3.15
11/01/2001,9.02,2.73,36.60,0.03,28.20,34.02,2.41
11/01/2011,9.04,2.09,40.60,0.04,28.10,34.09,1.92
04/03/2008,9.05,2.10,40.00,0.00,29.60,34.12,2.20
11/09/2010,9.05,1.54,25.30,0.02,24.10,33.75,3.85
07/16/2002,9.07,2.10,29.90,0.02,24.80,33.53,3.33
10/14/2000,9.08,1.79,54.00,0.00,21.60,33.93,3.23
01/15/2008,9.08,2.23,38.70,0.00,30.60,33.70,2.09
01/21/2013,9.08,1.69,35.40,0.01,24.20,34.00,2.41
11/10/2007,9.09,2.17,38.80,0.03,29.10,33.56,2.09
01/19/2009,9.09,2.15,37.00,0.00,29.50,34.10,2.35
01/23/2000,9.10,2.06,58.00,0.00,27.60,34.00,2.71
01/20/2001,9.11,2.00,54.00,0.00,29.70,33.96,3.22
04/03/2006,9.11,2.17,34.50,0.19,26.00,33.87,2.79
04/02/2006,9.12,2.15,34.00,0.19,26.00,33.87,2.82
08/10/2010,9.12,1.19,15.90,0.11,15.40,33.64,4.77
10/20/2011,9.12,2.31,44.30,0.01,33.20,34.04,2.01
01/09/2001,9.13,2.11,50.00,0.00,24.40,33.95,3.52
01/13/2007,9.13,1.61,27.30,0.00,22.90,33.77,3.65
04/20/2013,9.13,1.91,37.30,0.01,21.80,34.03,2.16
04/13/2013,9.14,1.48,29.90,0.03,21.00,33.66,3.35
10/27/2012,9.15,1.98,34.80,0.02,26.50,33.54,2.61
11/20/2002,9.16,2.03,27.40,0.01,23.50,33.45,3.46
01/09/2008,9.16,1.95,32.80,0.00,27.00,33.69,2.73
07/23/2009,9.16,1.57,26.00,0.01,22.30,33.71,3.80
11/23/2009,9.16,2.35,37.00,0.00,29.00,34.12,2.20
01/16/2010,9.16,1.68,38.00,0.22,24.70,33.95,2.48
08/11/2010,9.16,1.17,15.00,0.12,15.00,33.64,4.84
01/17/2010,9.17,1.68,37.80,0.24,24.70,33.95,2.50
04/26/2011,9.17,1.82,32.80,0.01,29.60,34.01,2.54
04/16/2011,9.18,1.58,24.00,0.02,23.40,33.72,3.73
07/10/2002,9.20,2.18,30.10,0.02,24.50,33.57,3.03
07/17/2012,9.20,2.06,37.70,0.00,31.20,34.01,2.00
10/26/2000,9.21,1.90,52.00,0.00,27.00,33.92,2.99
01/28/2002,9.21,2.80,34.50,0.01,26.40,33.72,2.58
06/28/2007,9.21,1.26,18.80,0.00,17.00,33.15,4.66
10/27/2008,9.21,2.15,37.00,0.00,27.90,34.10,2.36
03/28/2007,9.22,1.24,20.00,0.00,17.60,33.56,4.43
11/14/2009,9.22,2.07,33.00,0.00,27.20,34.12,2.57
01/18/2017,9.23,1.77,35.50,0.09,25.10,33.68,2.38
03/29/2007,9.24,1.57,26.20,0.00,22.30,33.71,3.86
07/30/2011,9.25,2.04,37.40,0.03,27.20,34.06,2.19
07/06/2013,9.25,1.43,23.60,0.00,19.30,33.52,4.24
02/06/2003,9.26,1.81,25.70,0.02,21.40,33.89,3.56
01/30/2007,9.26,1.88,32.00,0.00,25.70,33.58,2.82
04/13/2016,9.26,1.55,28.30,0.01,16.10,33.44,3.60
04/02/2007,9.27,1.82,31.00,0.00,25.80,33.81,3.40
01/22/2008,9.27,2.12,34.70,0.03,29.10,33.67,2.38
04/04/2008,9.28,1.99,36.00,0.00,27.70,34.03,2.40
11/21/2017,9.28,1.81,35.00,0.00,33.80,33.53,2.58
08/25/2008,9.29,1.21,19.00,0.00,15.60,33.70,4.53
03/15/2009,9.29,1.55,24.00,0.01,21.80,33.67,3.86
10/31/2001,9.30,2.71,33.80,0.03,27.00,33.90,2.59
